Species,Family,Genus,BioStatus,PlantType,Palatibility,GrowthForm,VernacularNames,ThreatenedStatus,NumPlots,NumObs,Cover,CoverCombined
Abies koreana,Pinaceae,Abies,Exotic,Vascular,Unclassified,Tree,Korean fir;,Not threatened (assumed),1,1,0.0000,0.0000
Abrotanella caespitosa,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,102,107,0.0002,0.0002
Abrotanella fertilis,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,1,1,0.0000,0.0000
Abrotanella inconspicua,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,54,60,0.0000,0.0000
Abrotanella linearis,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,67,87,0.0000,0.0000
Abrotanella muscosa,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Abrotanella patearoa,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Abrotanella pusilla,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,6,9,0.0000,0.0000
Abrotanella rostrata,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,1,2,0.0000,0.0000
Abrotanella rosulata,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Abrotanella spathulata,Compositae,Abrotanella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Acacia baileyana,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Bailey's wattle; Cootamundra wattle; Golden wattle;,Not threatened (assumed),1,1,0.0000,0.0000
Acacia dealbata,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Mimosa; Silver wattle;,Not threatened (assumed),9,10,0.0002,0.0001
Acacia decurrens,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Early black wattle; green wattle;,Not threatened (assumed),0,0,0.0000,0.0000
Acacia elata,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,cedar wattle;,Not threatened (assumed),0,0,0.0000,0.0000
Acacia longifolia,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Sydney golden wattle;,Not threatened (assumed),4,6,0.0000,0.0000
Acacia longifolia subsp. sophorae,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,coastal wattle;,Not threatened (assumed),0,0,0.0000,0.0000
Acacia mearnsii,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Black wattle;,Not threatened (assumed),10,12,0.0000,0.0000
Acacia melanoxylon,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Tree,Blackwood; Tasmanian blackwood;,Not threatened (assumed),6,7,0.0000,0.0000
Acacia paradoxa,Leguminosae,Acacia,Exotic,Vascular,Unclassified,Shrub,Kangaroo acacia; Kangaroo thorn; Prickly acacia; Prickly wattle;,Not threatened (assumed),0,0,0.0000,0.0000
Acaena agnipila,Rosaceae,Acaena,Exotic,Vascular,Unclassified,Forb,Australian sheep's bur; Sheep's bur;,Not threatened (assumed),96,109,0.0000,0.0000
Acaena agnipila var. aequispina,Rosaceae,Acaena,Exotic,Vascular,Unclassified,Forb,Sheep's bur;,Not threatened (assumed),0,0,0.0000,0.0000
Acaena agnipila var. tenuispica,Rosaceae,Acaena,Exotic,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Acaena alpine,Rosaceae,Acaena,Unknown,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Acaena anserinifolia,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,bidibid; Huruhuru-o-hine-nui-te-p?; Hutiwai; Kai?; Kai?rurerure; Kaikai?; Kaikai?rure; Pirikahu; piripiri; Piriwhetau;,Not Threatened,547,711,0.0000,0.0003
Acaena anserinifolia x inermis,,,Indigenous Endemic,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Acaena anserinifolia x novae-zelandiae,,,Indigenous Unspecified,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Acaena buchananii,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,14,14,0.0000,0.0000
Acaena caesiiglauca,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,bidibid; Glaucus bidibid;,Not Threatened,610,675,0.0000,0.0003
Acaena dumicola,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,26,36,0.0000,0.0000
Acaena emittens,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,5,5,0.0000,0.0000
Acaena fissistipula,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,85,90,0.0000,0.0001
Acaena glabra,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,23,25,0.0000,0.0000
Acaena hirsutula,Rosaceae,Acaena,Unknown,Vascular,Unclassified,Forb,,Not threatened (assumed),1,1,0.0000,0.0000
Acaena inermis,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,Blue mountain bidibid; Spineless bidibid; Spineless piripiri;,Not Threatened,196,213,0.0000,0.0002
Acaena juvenca,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,43,48,0.0000,0.0000
Acaena microphylla,Rosaceae,Acaena,Indigenous Non-Endemic,Vascular,Unclassified,Forb,bidibid;,Not threatened (assumed),6,6,0.0000,0.0000
Acaena microphylla var. microphylla,Rosaceae,Acaena,Indigenous Non-Endemic,Vascular,Unclassified,Forb,,Not Threatened,1,1,0.0000,0.0000
Acaena microphylla var. pauciglochidiata,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,0,0,0.0000,0.0000
Acaena minor,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,Antarctic piripiri; bidibid; piripiri;,Not threatened (assumed),0,0,0.0000,0.0000
Acaena minor var. antarctica,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Acaena minor var. minor,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,1,1,0.0000,0.0000
Acaena novae-zelandiae,Rosaceae,Acaena,Indigenous Non-Endemic,Vascular,Unclassified,Forb,bidibid; Red bidibid;,Not Threatened,151,169,0.0000,0.0001
Acaena pallida,Rosaceae,Acaena,Indigenous Non-Endemic,Vascular,Unclassified,Forb,bidibid; piripiri; Sand bidibid; Sand piripiri;,Declining,0,0,0.0000,0.0000
Acaena profundeincisa,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,bidibid;,Not Threatened,71,92,0.0000,0.0000
Acaena rorida,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Nationally Critical,0,0,0.0000,0.0000
Acaena saccaticupula,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,57,59,0.0000,0.0000
Acaena sericeinitens,Rosaceae,Acaena,Unknown,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Acaena tagname Stocking Stream,,,Unknown,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Acaena tagname bronze,,,Unknown,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Acaena tagname divisa,,,Unknown,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Acaena tagname trifoliate,,,Unknown,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Acaena tagname trifoliolate,,,Unknown,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Acaena tesca,Rosaceae,Acaena,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,1,1,0.0000,0.0000
Acanthus mollis,Acanthaceae,Acanthus,Exotic,Vascular,Unclassified,Forb,Artist's acanthus; Bear's breeches;,Not threatened (assumed),0,0,0.0000,0.0000
Acer negundo,Sapindaceae,Acer,Exotic,Vascular,Unclassified,Tree,Ash-leaved maple; Box elder; Ghost tree;,Not threatened (assumed),0,0,0.0000,0.0000
Acer palmatum,Sapindaceae,Acer,Exotic,Vascular,Unclassified,Tree,Cut leaf maple; Japanese maple;,Not threatened (assumed),0,0,0.0000,0.0000
Acer platanoides,Sapindaceae,Acer,Exotic,Vascular,Unclassified,Tree,Norway maple;,Not threatened (assumed),1,2,0.0000,0.0000
Acer pseudoplatanus,Sapindaceae,Acer,Exotic,Vascular,Unclassified,Tree,Mock plane; Scottish maple; Sycamore; Sycamore maple;,Not threatened (assumed),24,30,0.0003,0.0002
Achillea millefolium,Compositae,Achillea,Exotic,Vascular,Unclassified,Forb,Common yarrow; Milfoil; Nose bleed; Sanguinary; Thousand seal; Yarrow;,Not threatened (assumed),181,209,0.0000,0.0001
Achnatherum petriei,Gramineae,Achnatherum,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Declining,0,0,0.0000,0.0000
Achrophyllum dentatum,Daltoniaceae,Achrophyllum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Achrophyllum quadrifarium,Daltoniaceae,Achrophyllum,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),7,7,0.0000,0.0000
Achyranthes velutina,Amaranthaceae,Achyranthes,Indigenous Non-Endemic,Vascular,Unclassified,Shrub,,Naturally Uncommon,0,0,0.0000,0.0000
Acianthus sinclairii,Orchidaceae,Acianthus,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,148,202,0.0000,0.0000
Acinos arvensis,Labiatae,Acinos,Exotic,Vascular,Unclassified,Forb,Basil thyme; Mother of thyme; Mother-of-thyme;,Not threatened (assumed),3,3,0.0000,0.0000
"Aciphylla ""Lomond""",Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,10,11,0.0000,0.0000
Aciphylla anomala,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,2,3,0.0000,0.0000
Aciphylla aurea,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,Golden spaniard; Golden speargrass;,Not Threatened,913,1028,0.0000,0.0015
Aciphylla aurea x similis,,,Indigenous Endemic,Vascular,Unclassified,Forb,,Unknown,0,0,0.0000,0.0000
Aciphylla cartilaginea,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Aciphylla colensoi,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,Giant speargrass; Taramea;,Not Threatened,72,82,0.0000,0.0001
Aciphylla congesta,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,8,14,0.0000,0.0000
Aciphylla crenulata,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,80,112,0.0000,0.0001
Aciphylla crosby-smithii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,1,2,0.0000,0.0000
Aciphylla dieffenbachii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,Dieffenbach's speargrass;,Nationally Vulnerable,0,0,0.0000,0.0000
Aciphylla dissecta,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Aciphylla divisa,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,55,80,0.0000,0.0000
Aciphylla dobsonii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,10,10,0.0000,0.0000
Aciphylla ferox,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,Fierce speargrass; Taramea;,Not Threatened,14,19,0.0000,0.0000
Aciphylla glaucescens,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,27,29,0.0000,0.0000
Aciphylla hectorii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,56,58,0.0000,0.0000
Aciphylla hookeri,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,2,2,0.0000,0.0000
Aciphylla horrida,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,29,43,0.0000,0.0000
Aciphylla imbricata,Umbelliferae,Aciphylla,Unknown,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Aciphylla indurata,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Data Deficient,3,5,0.0000,0.0000
Aciphylla inermis,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Aciphylla kirkii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,7,10,0.0000,0.0000
Aciphylla lecomtei,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,3,4,0.0000,0.0000
Aciphylla leighii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,1,1,0.0000,0.0000
Aciphylla lyallii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,46,64,0.0000,0.0000
Aciphylla monroi,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,little speargrass;,Not Threatened,105,136,0.0000,0.0001
Aciphylla montana,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),49,52,0.0000,0.0000
Aciphylla montana var. gracilis,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Aciphylla montana var. montana,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Aciphylla multisecta,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,7,9,0.0000,0.0000
Aciphylla pinnatifida,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,2,3,0.0000,0.0000
Aciphylla polita,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,2,4,0.0000,0.0000
Aciphylla scott-thomsonii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,Giant spaniard;,Not Threatened,77,85,0.0000,0.0001
Aciphylla similis,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,46,56,0.0000,0.0001
Aciphylla simplex,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,3,4,0.0000,0.0000
Aciphylla spedenii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,2,3,0.0000,0.0000
Aciphylla squarrosa,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,K?karamea; Karamea; Kueo; Kurikuri; Kuweo; Papa?; Spaniard; Speargrass; Taramea; T?matukuru;,Not threatened (assumed),27,27,0.0000,0.0000
Aciphylla squarrosa var. flaccida,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Aciphylla stannensis,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,Tin Range speargrass;,Naturally Uncommon,0,0,0.0000,0.0000
Aciphylla subflabellata,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,Spaniard;,Declining,14,14,0.0000,0.0000
Aciphylla takahea,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,8,11,0.0000,0.0000
Aciphylla traillii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,Stewart Island speargrass;,Naturally Uncommon,2,3,0.0000,0.0000
Aciphylla traversii,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,Chatham Island speargrass;,Recovering,0,0,0.0000,0.0000
Aciphylla trifoliolata,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Aciphylla verticillata,Umbelliferae,Aciphylla,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),54,54,0.0000,0.0001
Ackama rosifolia,Cunoniaceae,Ackama,Indigenous Endemic,Vascular,Unclassified,Tree,m?kaka; makamaka;,Not Threatened,54,71,0.0003,0.0002
Acrobolbus cinerascens,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus concinnus,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus diversifolius,Acrobolbaceae,Acrobolbus,Absent,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus epiphytus,Acrobolbaceae,Acrobolbus,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus knightii,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus lophocoleoides,Acrobolbaceae,Acrobolbus,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus ochrophyllus,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus perpusillus,Acrobolbaceae,Acrobolbus,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus plagiochiloides,Acrobolbaceae,Acrobolbus,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus saccatus,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus setulosus,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus spinifolius,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus surculosus,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus tenellus,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),5,5,0.0000,0.0000
Acrobolbus tenellus var. diversifolius,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrobolbus tenellus var. tenellus,Acrobolbaceae,Acrobolbus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrocladium chlamydophyllum,Lembophyllaceae,Acrocladium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),18,18,0.0000,0.0000
Acrolejeunea mollis,Lejeuneaceae,Acrolejeunea,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acromastigum aff. anisostomum,Lepidoziaceae,Acromastigum,Unknown,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acromastigum anisostomum,Lepidoziaceae,Acromastigum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acromastigum cavifolium,Lepidoziaceae,Acromastigum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acromastigum colensoanum,Lepidoziaceae,Acromastigum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acromastigum cunninghamii,Lepidoziaceae,Acromastigum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acromastigum interstisiale,Lepidoziaceae,Acromastigum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acromastigum marginatum,Lepidoziaceae,Acromastigum,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acromastigum mooreanum,Lepidoziaceae,Acromastigum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acromastigum verticale,Lepidoziaceae,Acromastigum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Acrothamnus colensoi,Ericaceae,Acrothamnus,Indigenous Endemic,Vascular,Unclassified,Shrub,,Not Threatened,396,485,0.0000,0.0008
Acrothamnus suaveolens,Ericaceae,Acrothamnus,Exotic,Vascular,Unclassified,Shrub,,Not threatened (assumed),0,0,0.0000,0.0000
Actinidia chinensis,Actinidiaceae,Actinidia,Exotic,Vascular,Unclassified,Vine,,Not threatened (assumed),2,3,0.0000,0.0000
Actinidia chinensis var. deliciosa,Actinidiaceae,Actinidia,Exotic,Vascular,Unclassified,Vine,Chinese gooseberry; Kiwifruit; yang-tao;,Not threatened (assumed),0,0,0.0000,0.0000
Actinotus novae-zelandiae,Umbelliferae,Actinotus,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,42,52,0.0000,0.0000
Actinotus suffocatus,Umbelliferae,Actinotus,Absent,Vascular,Unclassified,Forb,,Not threatened (assumed),0,0,0.0000,0.0000
Adelanthus falcatus,Adelanthaceae,Adelanthus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),1,1,0.0000,0.0000
Adelanthus gemmiparus,Adelanthaceae,Adelanthus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Adelanthus occlusus,Adelanthaceae,Adelanthus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Adenochilus gracilis,Orchidaceae,Adenochilus,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,265,416,0.0000,0.0001
Adenocystis utricularis,Scytothamnaceae,Adenocystis,Unknown,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Adiantum aethiopicum,Pteridaceae,Adiantum,Indigenous Non-Endemic,Vascular,Unclassified,Fern,bush maidenhair fern; Maidenhair; Makaka; true maidenhair;,Not Threatened,1,1,0.0000,0.0000
Adiantum cunninghamii,Pteridaceae,Adiantum,Indigenous Endemic,Vascular,Unclassified,Fern,common maidenhair; Cunningham's maidenhair;,Not Threatened,334,397,0.0000,0.0004
Adiantum diaphanum,Pteridaceae,Adiantum,Indigenous Non-Endemic,Vascular,Unclassified,Fern,Small maidenhair;,Not Threatened,21,21,0.0000,0.0000
Adiantum formosum,Pteridaceae,Adiantum,Indigenous Non-Endemic,Vascular,Unclassified,Fern,giant maidenhair; plumed maidenhair;,Relict,0,0,0.0000,0.0000
Adiantum fulvum,Pteridaceae,Adiantum,Indigenous Endemic,Vascular,Unclassified,Fern,,Not Threatened,50,67,0.0000,0.0001
Adiantum hispidulum,Pteridaceae,Adiantum,Indigenous Non-Endemic,Vascular,Unclassified,Fern,Pirikonaka; rosy maidenhair;,Not threatened (assumed),44,57,0.0000,0.0000
Adiantum raddianum,Pteridaceae,Adiantum,Exotic,Vascular,Unclassified,Fern,delta maidenhair fern;,Not threatened (assumed),0,0,0.0000,0.0000
Aeonium haworthii,Crassulaceae,Aeonium,Exotic,Vascular,Unclassified,SubShrub,Pinwheel aeonium;,Not threatened (assumed),0,0,0.0000,0.0000
Aesculus hippocastanum,Sapindaceae,Aesculus,Exotic,Vascular,Unclassified,Tree,horse chesnut; Horse chestnut;,Not threatened (assumed),0,0,0.0000,0.0000
Agapanthus praecox,Agapanthaceae,Agapanthus,Exotic,Vascular,Unclassified,Graminoid,African lily;,Not threatened (assumed),1,1,0.0000,0.0000
Agapanthus praecox subsp. orientalis,Agapanthaceae,Agapanthus,Exotic,Vascular,Unclassified,Graminoid,Agapanthus;,Not threatened (assumed),0,0,0.0000,0.0000
Agathis australis,Araucariaceae,Agathis,Indigenous Endemic,Vascular,Unclassified,Tree,Cowrie; Kaore; Kauri; Kauri pine; Koroi; Ware;,Nationally Vulnerable,351,383,0.0050,0.0035
Agave americana,Asparagaceae,Agave,Exotic,Vascular,Unclassified,SubShrub,Century plant;,Not threatened (assumed),0,0,0.0000,0.0000
Ageratina adenophora,Compositae,Ageratina,Exotic,Vascular,Unclassified,SubShrub,Catspaw; Crofton weed; Mexican devil;,Not threatened (assumed),10,10,0.0000,0.0000
Ageratina riparia,Compositae,Ageratina,Exotic,Vascular,Unclassified,SubShrub,mist flower;,Not threatened (assumed),28,39,0.0000,0.0000
Agropyron cristatum,Gramineae,Agropyron,Unknown,Vascular,Unclassified,Graminoid,Crested wheatgrass;,Not threatened (assumed),0,0,0.0000,0.0000
Agrostis canina,Gramineae,Agrostis,Unknown,Vascular,Unclassified,Graminoid,brown bent;,Not threatened (assumed),2,2,0.0000,0.0000
Agrostis capillaris,Gramineae,Agrostis,Exotic,Vascular,Unclassified,Graminoid,Bent grass; Browntop; Browntop bent;,Not threatened (assumed),2225,2529,0.0000,0.0073
Agrostis castellana,Gramineae,Agrostis,Exotic,Vascular,Unclassified,Graminoid,Dryland browntop;,Not threatened (assumed),10,17,0.0000,0.0000
Agrostis dyeri,Gramineae,Agrostis,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,180,238,0.0000,0.0001
Agrostis gigantea,Gramineae,Agrostis,Exotic,Vascular,Unclassified,Graminoid,redtop;,Not threatened (assumed),0,0,0.0000,0.0000
Agrostis imbecilla,Gramineae,Agrostis,Indigenous Endemic,Vascular,Unclassified,Graminoid,,Data Deficient,2,2,0.0000,0.0000
Agrostis littoralis,Gramineae,Agrostis,Unknown,Vascular,Unclassified,Graminoid,,Not threatened (assumed),0,0,0.0000,0.0000
Agrostis magellanica,Gramineae,Agrostis,Indigenous Non-Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,17,20,0.0000,0.0000
Agrostis muelleriana,Gramineae,Agrostis,Indigenous Non-Endemic,Vascular,Unclassified,Graminoid,,Not Threatened,99,138,0.0000,0.0000
Agrostis muscosa,Gramineae,Agrostis,Indigenous Endemic,Vascular,Unclassified,Graminoid,Pincushion grass;,Not Threatened,66,67,0.0000,0.0001
