Species,Family,Genus,BioStatus,PlantType,Palatibility,GrowthForm,VernacularNames,ThreatenedStatus,NumPlots,NumObs,Cover,CoverCombined
Lepra truncata,Pertusariaceae,Lepra,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Lepraria incana,,Lepraria,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Lepraria lobificans,,Lepraria,Absent,Non Vascular,Unclassified,Nonvascular,,Not threatened (assumed),0,0,0.0000,0.0000
Lepraria neglecta,,Lepraria,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,,Not threatened (assumed),0,0,0.0000,0.0000
Leptecophylla juniperina,Ericaceae,Cyathodes,Indigenous Non-Endemic,Vascular,Avoided,Shrub,Hukihuki; Hukihukiraho; Inakap?riro; Inangap?riro; K?kuku; Miki; Mikimiki; Mingi; Mingimingi; Ngohungohu; P? t?tara; Prickly heath; Prickly mingimingi; Taumingi; T?mingi;,Not threatened (assumed),1215,1799,0.0047,0.0032
Leptecophylla juniperina subsp. juniperina,Ericaceae,Leptecophylla,Indigenous Non-Endemic,Vascular,Avoided,Shrub,,Not Threatened,0,0,0.0000,0.0000
Leptecophylla robusta,Ericaceae,Cyathodes,Indigenous Endemic,Vascular,Unclassified,Shrub,Chatham Island mingimingi;,Naturally Uncommon,1,1,0.0000,0.0000
Leptinella albida,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,19,19,0.0000,0.0000
Leptinella atrata,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),17,18,0.0000,0.0000
Leptinella atrata subsp. atrata,Compositae,Leptinella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Leptinella calcarea,Compositae,Leptinella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Leptinella dendyi,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,8,8,0.0000,0.0000
Leptinella dioica,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,shore cotula;,Not Threatened,23,23,0.0000,0.0001
Leptinella dispersa,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),1,1,0.0000,0.0000
Leptinella filiformis,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Nationally Critical,1,1,0.0000,0.0000
Leptinella goyenii,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,6,7,0.0000,0.0000
Leptinella intermedia,Compositae,Leptinella,Indigenous Endemic,Vascular,Unclassified,Forb,,Data Deficient,0,0,0.0000,0.0000
Leptinella maniototo,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Relict,2,2,0.0000,0.0000
Leptinella minor,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Leptinella pectinata,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),161,177,0.0000,0.0000
Leptinella pectinata subsp. pectinata,Compositae,Leptinella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Leptinella pectinata subsp. villosa,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Leptinella pectinata subsp. willcoxii,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Leptinella perpusilla,Compositae,Leptinella,Unknown,Vascular,Unclassified,Forb,,Not threatened (assumed),3,3,0.0000,0.0000
Leptinella potentillina,Compositae,Leptinella,Indigenous Endemic,Vascular,Unclassified,Forb,,Naturally Uncommon,0,0,0.0000,0.0000
Leptinella pusilla,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,92,107,0.0000,0.0001
Leptinella pyrethrifolia,Compositae,Cotula,Indigenous Endemic,Vascular,Unclassified,Forb,,Not threatened (assumed),29,39,0.0000,0.0000
Leptinella pyrethrifolia var. pyrethrifolia,Compositae,Leptinella,Indigenous Endemic,Vascular,Unclassified,Forb,,Not Threatened,0,0,0.0000,0.0000
Leptinella serrulata,Compositae,Leptinella,Indigenous Endemic,Vascular,Unclassified,Forb,,Declining,20,22,0.0000,0.0000
